(-10.021848, 15.503844, 0.467957)
(-9.877398, 15.376208, 0.089144)
(-9.753225, 15.718913, 0.084115)
(-9.745054, 15.740575, 0.182932)
(-9.848891, 15.463116, 0.216613)
(-9.931118, 15.580637, 0.629123)
(-9.905502, 15.391412, 0.300639)
(-9.990769, 15.478231, 0.724054)
(-9.825692, 15.551102, 0.479229)
(-9.795104, 15.283437, 0.696118)
(-9.590119, 15.311284, 0.602981)
(-9.522012, 15.333066, 0.511965)
(-9.459787, 15.312117, 0.543882)
(-9.413081, 15.287734, 0.589015)
(-9.384935, 15.296340, 0.614330)
(-9.403597, 15.315506, 0.642338)
(-9.434262, 15.333488, 0.664215)
(-9.521820, 15.319917, 0.672549)
(-9.663045, 15.424779, 0.703144)
(-9.743497, 15.589005, 0.624484)
(-9.937838, 15.325000, 0.672031)
(-9.345375, 13.968865, 0.399338)
(-9.985946, 15.383760, 0.564029)
(-10.022357, 15.364157, 0.370228)
(-10.086228, 15.508747, 0.343629)
(-10.170511, 15.770933, 0.558374)
(-9.685970, 14.651039, 0.541220)
(-9.968037, 15.490948, 0.112932)
(-9.825234, 15.718830, 0.085018)
(-9.740029, 15.450307, 0.132636)
(-9.709141, 15.545487, 0.078305)
(-9.606849, 15.537580, 0.034254)
(-9.542992, 15.549422, 0.020080)
(-9.496541, 15.531626, 0.344257)
(-9.384447, 15.415873, 0.465459)
(-9.414922, 15.637839, 0.848001)
(-9.418768, 15.806310, 0.619167)
(-9.432806, 15.654510, 0.572232)
(-9.532201, 15.721926, 0.374358)
(-9.655015, 15.776707, 0.357837)
(-9.738608, 15.709366, 0.437831)
(-9.785908, 15.915804, 0.407766)
(-9.980196, 15.639640, 0.680880)
(-9.975340, 15.606920, 0.315935)
(-9.941845, 15.369545, 0.445875)
(-10.006649, 15.576878, 0.261708)
(-10.074605, 15.399380, 0.670392)
(-9.964044, 15.535278, 0.206920)
(-9.962994, 15.384206, 0.258438)
(-9.761685, 15.386950, 0.101269)
(-9.810921, 15.478813, 0.115251)
(-9.840802, 15.720661, 0.111772)
(-9.891663, 15.514876, 0.417571)
(-9.902406, 15.788171, 0.089452)
(-10.083860, 15.739439, 0.325633)
(-10.163575, 15.505255, 0.542354)
(-10.004167, 15.144465, 0.312951)
(-10.195454, 15.536195, 0.227083)
(-10.139417, 15.599014, 0.359420)
(-9.730903, 14.635734, 0.447138)
(-10.249832, 15.700697, 0.597605)
(-10.168547, 15.526885, 0.453228)
(-10.072909, 15.113090, 0.611858)
(-10.204066, 15.690724, 0.729349)
(-10.043509, 15.272565, 0.449983)
(-9.601486, 16.358265, 0.510614)
(-10.079867, 15.502147, 0.264658)
(-10.108801, 15.639603, 0.307035)
(-10.053160, 15.441914, 0.211290)
(-10.057671, 15.396289, 0.056323)
(-10.102906, 15.488111, 0.169992)
(-10.148411, 15.454435, 0.417405)
(-10.007687, 15.457405, 0.106663)
(-9.909036, 15.640226, 0.080114)
(-9.750470, 15.593772, 0.073516)
(-9.781887, 15.616449, 0.097802)
(-9.882396, 15.640208, 0.195301)
(-9.926687, 15.562960, 0.204615)
(-9.978355, 15.470031, 0.262882)
(-10.147786, 15.515099, 0.267526)
(-10.267105, 15.660991, 0.230082)
(-10.244013, 15.496998, 0.102083)
(-10.223920, 15.573117, 0.084562)
(-9.972313, 14.946824, 0.046742)
(-9.988971, 15.556009, 0.174397)
(-9.976189, 15.322895, 0.184128)
(-9.925640, 15.593319, 0.055818)
(-9.959874, 15.493538, 0.188709)
(-9.989113, 15.482151, 0.184748)
(-10.041945, 15.528910, 0.238656)
(-9.425030, 14.169277, 0.309504)
(-10.241368, 15.810368, 0.394249)
(-10.342097, 15.729830, 0.408180)
(-10.530431, 15.640944, 0.562694)
(-10.588879, 15.593431, 0.570508)
(-10.670630, 15.568614, 0.656268)
(-10.733747, 15.464707, 0.726696)
(-11.062900, 15.997094, 0.934164)
(-10.833624, 15.228049, 1.032857)
(-11.023070, 15.345574, 0.882180)
(-11.130938, 15.420659, 0.833086)
(-11.267688, 15.432368, 0.907643)
(-11.315297, 15.336136, 0.926145)
(-11.393824, 15.341333, 0.877609)
(-11.399593, 15.323983, 0.950867)
(-11.358740, 15.245159, 1.041690)
(-11.190369, 14.817533, 1.063181)
(-11.122986, 14.871166, 1.131740)
(-11.157747, 15.180475, 1.139491)
(-11.105055, 15.047134, 0.953813)
(-11.124156, 15.057418, 0.845843)
(-10.954698, 15.317576, 0.945588)
(-10.983772, 15.157133, 0.769626)
(-10.861631, 15.287643, 0.893640)
(-10.700467, 15.168277, 0.759744)
(-10.660992, 15.487424, 0.828570)
(-10.579574, 15.396048, 0.779048)
(-10.513665, 15.509003, 0.737671)
(-10.520003, 15.525325, 0.698475)
(-10.462610, 15.575792, 0.603929)
(-10.393931, 15.469954, 0.612897)
(-10.467735, 15.687289, 0.740117)
(-10.404163, 15.527425, 0.751747)
(-10.388392, 15.531620, 0.862843)
(-10.348553, 15.575754, 1.019731)
(-10.326014, 15.584213, 1.120199)
(-10.222514, 15.598729, 1.166696)
(-10.086081, 15.489384, 1.160175)
(-9.755018, 15.756545, 1.412291)
(-9.733683, 15.466183, 1.313671)
(-9.622540, 15.468459, 1.339874)
(-9.568741, 15.457463, 1.343622)
(-9.586375, 15.478513, 1.385817)
(-9.593877, 15.584770, 1.311082)
(-9.610858, 15.629309, 1.378877)
(-9.613728, 15.460712, 1.310577)
(-9.692719, 15.826568, 1.268587)
(-9.609026, 15.708288, 1.225499)
(-9.509903, 15.396457, 1.231580)
(-9.483063, 15.490993, 1.345664)
(-9.401073, 15.681951, 1.216917)
(-9.321796, 15.475719, 1.225666)
(-9.165449, 15.412702, 1.247983)
(-8.994757, 15.419154, 1.265375)
(-8.826517, 15.441045, 1.293669)
(-8.713499, 15.510707, 1.278180)
(-8.653526, 15.570546, 1.246647)
(-8.647427, 15.675579, 1.207336)
(-8.681644, 15.889661, 1.121349)
(-8.664720, 15.893084, 1.084184)
(-8.710834, 16.047939, 1.064916)
(-8.698395, 16.085893, 1.093213)
(-8.645147, 16.010886, 1.067949)
(-8.539225, 16.034897, 1.085015)
(-8.391997, 16.077331, 1.029084)
(-8.254527, 16.128367, 0.982090)
(-8.142450, 16.187275, 0.904588)
(-8.077451, 16.227417, 0.873137)
(-8.064456, 16.257159, 0.868348)
(-8.118525, 16.250665, 0.934852)
(-8.212339, 16.243088, 1.028501)
(-8.273501, 16.189243, 1.108159)
(-8.323834, 16.166326, 1.199686)
(-8.327811, 16.173882, 1.249258)
(-8.279709, 16.187610, 1.275651)
(-8.212549, 16.243066, 1.261995)
(-8.147598, 16.305091, 1.236813)
(-8.087025, 16.387502, 1.130769)
(-8.017897, 16.392066, 1.098490)
(-7.979589, 16.361428, 1.080958)
(-7.939109, 16.355653, 1.090645)
(-7.927017, 16.364895, 1.089909)
(-7.936190, 16.376956, 1.055617)
